Var1,Var2
3.21166066064424e-08,1
NaN,1
NaN,1
NaN,1
1.98714459597182e-08,1
NaN,1
3.89746849625376e-08,1
3.71587605960365e-08,1
1.84038045088195e-08,1
3.07636261277268e-08,1
NaN,1
2.04142340294226e-08,2
2.11227659019595e-08,2
2.85395281010851e-08,2
2.25487243286002e-08,2
2.78027658341188e-08,2
1.86074070979015e-08,2
1.98435030813932e-08,2
2.36692042436406e-08,2
1.71869183690603e-08,2
1.74016708688042e-08,2
2.77178949518585e-08,2
1.20551745057681e-08,3
2.50753871301494e-08,3
2.75201846273412e-08,3
1.85772601250401e-08,3
1.50233518009601e-08,3
1.79620461106541e-08,3
2.00217544759849e-08,3
1.77451953655669e-08,3
1.2937376723247e-08,3
1.79214911964672e-08,3
1.87042592778392e-08,3
5.42531749363612e-08,4
NaN,4
NaN,4
NaN,4
4.53287709546922e-08,4
NaN,4
NaN,4
3.75493420583182e-08,4
1.38624906698137e-08,4
3.08978982625106e-08,4
NaN,4
