Right_Parietal,Right_Forehead,Left_Forehead,Left_Parietal
3.23140065212295e-08,2.60884832082679e-08,1.31259213242048e-08,6.09387758756519e-08
3.19192066916552e-08,NaN,8.84103862889127e-09,4.75675739970705e-08
1.98714459597182e-08,3.62324908160477e-08,1.56374531902481e-08,4.53287709546922e-08
3.89746849625376e-08,1.87523637615317e-08,2.172528651187e-08,NaN
3.23743618248495e-08,3.51535315089897e-08,2.32502800147559e-08,4.68094958547965e-08
2.31555879343093e-08,3.59932982312612e-08,2.68842632936694e-08,4.0537187215491e-08
5.23539259186801e-08,1.88000141456701e-08,1.85533805747521e-08,4.3255574157065e-08
4.07511667063071e-08,1.91089905718763e-08,1.50757433257468e-08,1.95951110059201e-08
2.31271918912923e-08,1.97810861248815e-08,1.17804100375762e-08,9.78226171732821e-09
1.1030120600275e-08,1.21192053255591e-08,1.23094490741179e-08,9.64907528933079e-09
2.10541010348913e-08,1.7672407366498e-08,9.64664204279003e-09,2.21561350027821e-08
3.4186784446319e-08,2.32353895765877e-08,1.72079293886407e-08,2.79040471917119e-08
2.2820253521072e-08,1.79324333339966e-08,1.97850868716154e-08,3.40889965216862e-08
3.52838404157896e-08,1.3299042542908e-08,1.6230407852702e-08,3.07006510741337e-08
