Right_Parietal_STD,Right_Forehead_STD,Left_Forehead_STD,Left_Parietal_STD
4.30540859159408e-09,1.05183955722173e-09,5.42214921808856e-10,9.38296865073203e-09
2.23591419569085e-09,NaN,1.02846153417051e-09,5.26942377660842e-09
1.17662089508078e-09,3.09591286881747e-09,1.26967823643249e-09,3.93807328250175e-09
7.02003974131877e-09,1.3075438987538e-09,1.03496257817239e-09,NaN
3.51175463626673e-09,1.58569742965841e-09,1.2164320322653e-09,5.17419212302087e-09
0,3.65923523512194e-09,8.61986134242144e-09,9.66378348003049e-10
4.45421006639596e-09,2.49976649443161e-09,9.98338596157551e-10,5.75538045454962e-09
7.17059282489648e-09,1.22698222530438e-09,6.34065143752504e-10,1.79544091154178e-09
6.70643356949891e-09,9.06549603732893e-09,1.44305404354092e-09,0
1.93772490148962e-09,8.39920447796069e-10,1.22807878755242e-09,0
4.96168416176505e-09,4.11957636428707e-09,8.36371617509779e-10,0
4.11862575211337e-09,2.34147068113041e-09,4.53347773563459e-09,3.0875394772814e-09
3.69392606284807e-09,2.02007256624591e-09,6.34806540952037e-09,3.99443657509092e-09
1.59682220896738e-08,2.9288606565176e-10,2.04672346042845e-09,7.24146449524874e-09
